Customer_ID,Date,Customer_Type,Group_Size,Attire,Seat_Type,Activity,Check_In,Check_Out,Stay_Duration_Min,Spend_Amount_CAD
C088,2026-03-18,Adult,1,Formal Business,Table with 2 Chairs (Middle),Phone Browsing,10:21:00,10:59:00,38,12.57
C089,2026-03-18,Teenagers,2,Casual,Window Seat,Conversation,11:02:00,11:52:00,50,17.25
C090,2026-03-18,Teenagers,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,14:41:00,15:22:00,41,7.69
C091,2026-03-18,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,14:49:00,15:27:00,38,23.87
C092,2026-03-19,Seniors,2,Business Casual,Table with 2 Chairs (Middle),Reading,8:03:00,8:48:00,45,7.62
C093,2026-03-19,Adult,1,Business Casual,Window Seat,Laptop,8:37:00,10:30:00,113,6.27
C094,2026-03-19,Adult,1,Business Casual,Window Seat,Laptop,11:01:00,12:50:00,109,5.77
C095,2026-03-19,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,11:28:00,11:48:00,20,19.68
C096,2026-03-19,University Student,1,Business Casual,Window Seat,Laptop,12:00:00,14:20:00,140,4.33
C097,2026-03-19,Adult,1,Business Casual,Window Seat,Conversation,13:29:00,13:54:00,25,9.07
C098,2026-03-19,University Student,1,Casual,Window Seat,Reading,14:33:00,17:08:00,155,4.25
C099,2026-03-20,Adult,2,Business Casual,Window Seat,Phone Browsing,7:29:00,7:53:00,24,12.06
C100,2026-03-20,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,9:59:00,12:06:00,127,3.75
C101,2026-03-20,Family,4,Casual,Big Round Table,Conversation,10:50:00,11:41:00,51,26.18
C102,2026-03-20,Adult,1,Business Casual,Window Seat,Conversation,10:59:00,11:30:00,31,4.77
C103,2026-03-20,University Student,1,Casual,Window Seat,Reading,11:46:00,13:00:00,74,6.69
C104,2026-03-20,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,12:11:00,12:31:00,20,20.52
C105,2026-03-20,Adult,1,Business Casual,Table for 4,Phone Browsing,14:32:00,14:49:00,17,11.6
C106,2026-03-23,Seniors,2,Casual,Table with 2 Chairs (Middle),Reading,7:42:00,8:38:00,56,9.75
C107,2026-03-23,Adult,2,Business Casual,Window Seat,Laptop,8:55:00,11:46:00,171,8.42
C108,2026-03-23,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,9:06:00,9:39:00,33,6.21
C109,2026-03-23,Adult,1,Business Casual,Window Seat,Laptop,9:29:00,11:44:00,135,8.5
C110,2026-03-23,Adult,1,Casual,Table with 2 Chairs (Middle),Laptop,10:00:00,12:53:00,173,13.49
C111,2026-03-23,Teenagers,3,Casual,Table for 4,Conversation,14:45:00,15:05:00,20,23.21
C112,2026-03-23,University Student,1,Casual,Window Seat,Phone Browsing,14:47:00,16:53:00,126,6.2
C113,2026-03-24,University Student,1,Casual,Window Seat,Reading,7:58:00,9:47:00,109,6.24
C114,2026-03-24,Family,3,Casual,Table for 4,Conversation,10:28:00,11:14:00,46,33.12
C115,2026-03-24,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,11:30:00,13:18:00,108,5.35
C116,2026-03-24,Family,4,Casual,Big Round Table,Conversation,12:59:00,13:58:00,59,27.89
C117,2026-03-24,Adult,1,Casual,Table with 2 Chairs (Middle),Laptop,13:45:00,15:59:00,134,13.99
C118,2026-03-24,Adult,1,Business Casual,Table for 4,Conversation,14:19:00,15:15:00,56,8.21
C119,2026-03-24,Family,3,Casual,Table for 4,Conversation,15:07:00,15:47:00,40,21.07
C120,2026-03-25,University Student,1,Casual,Window Seat,Phone Browsing,8:04:00,10:07:00,123,6.94
C121,2026-03-25,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,8:18:00,10:02:00,104,3.84
C122,2026-03-25,Adult,1,Business Casual,Window Seat,Conversation,8:22:00,8:55:00,33,13.75
C123,2026-03-25,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,8:38:00,8:44:00,6,22.44
C124,2026-03-25,Adult,2,Business Casual,Table with 2 Chairs (Middle),Laptop,9:47:00,11:57:00,130,10.44
C125,2026-03-25,University Student,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,11:38:00,12:32:00,54,4.54
C126,2026-03-25,University Student,1,Casual,Window Seat,Phone Browsing,12:26:00,14:46:00,140,8.32
C127,2026-03-26,University Student,1,Business Casual,Table with 2 Chairs (Middle),Laptop,7:34:00,10:06:00,152,6.83
C128,2026-03-26,Teenagers,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,7:42:00,8:05:00,23,8.11
C129,2026-03-26,University Student,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,11:01:00,12:44:00,103,6.02
C130,2026-03-26,Family,3,Casual,Table for 4,Conversation,14:35:00,15:17:00,42,27.16
C131,2026-03-26,Seniors,2,Business Casual,Window Seat,Conversation,15:01:00,15:36:00,35,7.96
C132,2026-03-26,Teenagers,3,Casual,Table for 4,Spacing Out,15:04:00,15:32:00,28,27.45
C133,2026-03-26,Adult,1,Formal Business,Window Seat,Conversation,15:14:00,16:03:00,49,6.38
C134,2026-03-27,Seniors,2,Casual,Window Seat,Conversation,8:08:00,9:00:00,52,9.73
C135,2026-03-27,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,8:27:00,8:53:00,26,11.52
C136,2026-03-27,Adult,2,Formal Business,Table with 2 Chairs (Middle),Conversation,9:07:00,10:02:00,55,10.41
C137,2026-03-27,Family,4,Casual,Table for 4,Conversation,10:11:00,10:26:00,15,33.28
C138,2026-03-27,Teenagers,2,Casual,Window Seat,Phone Browsing,11:43:00,12:11:00,28,18.08
C139,2026-03-27,University Student,1,Casual,Table with 2 Chairs (Middle),Reading,12:23:00,14:49:00,146,4.48
C140,2026-03-27,Seniors,2,Casual,Table with 2 Chairs (Middle),Spacing Out,14:00:00,14:50:00,50,7.39
C141,2026-03-30,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,7:55:00,10:01:00,126,5.66
C142,2026-03-30,Adult,1,Formal Business,Window Seat,Conversation,12:18:00,13:18:00,60,4.57
C143,2026-03-30,Teenagers,3,Casual,Big Round Table,Phone Browsing,12:58:00,13:20:00,22,25.04
C144,2026-03-30,Family,3,Casual,Table for 4,Conversation,13:47:00,14:34:00,47,23.28
C145,2026-03-30,Adult,1,Formal Business,Table for 4,Conversation,13:51:00,14:36:00,45,9.63
C146,2026-03-30,Teenagers,1,Casual,Table with 2 Chairs (Middle),Conversation,14:32:00,14:58:00,26,7.46
C147,2026-03-30,Adult,1,Casual,Window Seat,Laptop,15:05:00,17:14:00,129,12.31
C148,2026-03-31,Children,1,Casual,Table with 2 Chairs (Middle),Spacing Out,7:29:00,7:49:00,20,4.32
C149,2026-03-31,Adult,2,Casual,Window Seat,Laptop,8:21:00,10:45:00,144,13.46
C150,2026-03-31,Adult,2,Formal Business,Window Seat,Phone Browsing,9:44:00,10:28:00,44,9.45
C151,2026-03-31,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,11:17:00,11:22:00,5,9.55
C152,2026-03-31,Adult,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,12:03:00,12:39:00,36,5.99
C153,2026-03-31,Adult,1,Casual,Table with 2 Chairs (Middle),Laptop,12:05:00,15:02:00,177,11.27
C154,2026-03-31,Family,3,Casual,Big Round Table,Conversation,13:25:00,13:57:00,32,23.16
C155,2026-04-01,University Student,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,8:43:00,11:16:00,153,6.17
C156,2026-04-01,University Student,1,Casual,Table with 2 Chairs (Middle),Spacing Out,10:09:00,11:46:00,97,4.36
C157,2026-04-01,Seniors,1,Casual,Table for 4,Reading,10:37:00,11:52:00,75,6.62
C158,2026-04-01,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,11:53:00,12:22:00,29,21.13
C159,2026-04-01,University Student,1,Casual,Window Seat,Laptop,12:54:00,14:50:00,116,8.47
C160,2026-04-01,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,14:31:00,16:24:00,113,7.47
C161,2026-04-01,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,15:22:00,17:24:00,122,10.18
C162,2026-04-02,Family,4,Casual,Table for 4,Conversation,7:33:00,8:23:00,50,29.57
C163,2026-04-02,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,8:11:00,10:24:00,133,5.38
C164,2026-04-02,Teenagers,2,Casual,Window Seat,Phone Browsing,9:01:00,9:21:00,20,22.88
C165,2026-04-02,Adult,1,Formal Business,Window Seat,Laptop,10:01:00,12:00:00,119,13.42
C166,2026-04-02,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,10:36:00,11:08:00,32,8.63
C167,2026-04-02,Children,1,Casual,Table with 2 Chairs (Middle),Spacing Out,10:49:00,11:16:00,27,5.01
C168,2026-04-02,Adult,2,Business Casual,Table with 2 Chairs (Middle),Laptop,14:07:00,16:29:00,142,7.63
C169,2026-04-03,Seniors,1,Casual,Window Seat,Spacing Out,7:07:00,7:40:00,33,8.45
C170,2026-04-03,Seniors,1,Casual,Table with 2 Chairs (Middle),Conversation,8:00:00,9:30:00,90,4.46
C171,2026-04-03,University Student,1,Casual,Window Seat,Laptop,9:45:00,12:17:00,152,4.56
C172,2026-04-03,University Student,1,Casual,Window Seat,Spacing Out,10:35:00,11:43:00,68,3.98
C173,2026-04-03,University Student,1,Business Casual,Window Seat,Phone Browsing,11:08:00,12:56:00,108,3.67
C174,2026-04-03,Adult,1,Casual,Window Seat,Conversation,12:52:00,13:15:00,23,13.67
C175,2026-04-03,Seniors,1,Casual,Table with 2 Chairs (Middle),Reading,13:03:00,14:00:00,57,8.69
C176,2026-04-06,Adult,1,Business Casual,Window Seat,Laptop,7:01:00,8:50:00,109,4.81
C177,2026-04-06,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,8:13:00,11:03:00,170,5.36
C178,2026-04-06,University Student,1,Casual,Window Seat,Laptop,8:58:00,10:43:00,105,6.97
C179,2026-04-06,Adult,2,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,9:19:00,10:05:00,46,8.64
C180,2026-04-06,Adult,1,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,11:57:00,12:40:00,43,5.13
C181,2026-04-06,Teenagers,3,Casual,Table for 4,Conversation,12:11:00,12:34:00,23,27.1
C182,2026-04-06,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,13:05:00,15:28:00,143,7.11
C183,2026-04-07,Teenagers,1,Casual,Table with 2 Chairs (Middle),Phone Browsing,9:39:00,10:12:00,33,8.34
C184,2026-04-07,University Student,1,Casual,Window Seat,Laptop,10:27:00,12:45:00,138,3.62
C185,2026-04-07,Adult,2,Formal Business,Window Seat,Conversation,11:40:00,12:15:00,35,6.43
C186,2026-04-07,Seniors,2,Casual,Table with 2 Chairs (Middle),Conversation,13:14:00,13:34:00,20,9.06
C187,2026-04-07,Adult,2,Business Casual,Table with 2 Chairs (Middle),Laptop,13:58:00,16:53:00,175,12.83
C188,2026-04-07,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,14:11:00,14:28:00,17,10.96
C189,2026-04-07,Family,5,Casual,Big Round Table,Conversation,14:33:00,15:13:00,40,29.57
C190,2026-04-08,Family,5,Casual,Table for 4,Conversation,8:27:00,9:50:00,83,31.42
C191,2026-04-08,Seniors,2,Business Casual,Table with 2 Chairs (Middle),Conversation,9:06:00,10:03:00,57,7.28
C192,2026-04-08,Teenagers,1,Casual,Table with 2 Chairs (Middle),Conversation,9:09:00,9:30:00,21,8.05
C193,2026-04-08,Adult,2,Business Casual,Window Seat,Conversation,10:15:00,10:58:00,43,10.98
C194,2026-04-08,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,12:50:00,13:08:00,18,20.62
C195,2026-04-08,University Student,1,Casual,Window Seat,Laptop,13:25:00,15:26:00,121,8.21
C196,2026-04-08,Adult,1,Business Casual,Window Seat,Phone Browsing,14:45:00,15:27:00,42,12.92
C197,2026-04-09,Seniors,1,Casual,Window Seat,Reading,7:09:00,8:01:00,52,9.13
C198,2026-04-09,University Student,1,Business Casual,Window Seat,Laptop,10:57:00,13:12:00,135,7.85
C199,2026-04-09,Seniors,1,Casual,Table with 2 Chairs (Middle),Reading,12:44:00,14:12:00,88,5.98
C200,2026-04-09,Adult,1,Casual,Window Seat,Laptop,13:03:00,15:27:00,144,10.41
C201,2026-04-09,Adult,2,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,13:34:00,14:10:00,36,6.94
C202,2026-04-09,Adult,1,Business Casual,Window Seat,Conversation,14:27:00,14:53:00,26,8.29
C203,2026-04-09,Seniors,2,Business Casual,Window Seat,Spacing Out,14:51:00,16:16:00,85,7.57
C204,2026-04-10,Adult,1,Formal Business,Table with 2 Chairs (Middle),Laptop,7:37:00,10:09:00,152,4.85
C205,2026-04-10,Seniors,2,Casual,Window Seat,Conversation,10:11:00,11:21:00,70,4.98
C206,2026-04-10,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,10:45:00,12:54:00,129,8.43
C207,2026-04-10,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,13:45:00,16:37:00,172,8.04
C208,2026-04-10,Teenagers,2,Casual,Window Seat,Conversation,14:46:00,15:03:00,17,21.07
C209,2026-04-10,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,14:48:00,15:46:00,58,11.37
C210,2026-04-10,Adult,2,Business Casual,Table with 2 Chairs (Middle),Phone Browsing,15:18:00,15:52:00,34,10.98
C211,2026-04-13,Adult,1,Casual,Window Seat,Phone Browsing,7:50:00,8:17:00,27,9.52
C212,2026-04-13,University Student,1,Casual,Window Seat,Laptop,9:44:00,11:31:00,107,6.72
C213,2026-04-13,Adult,1,Business Casual,Window Seat,Conversation,10:59:00,12:12:00,73,6.45
C214,2026-04-13,Seniors,2,Casual,Table for 4,Reading,11:43:00,12:30:00,47,5.8
C215,2026-04-13,Teenagers,3,Casual,Table for 4,Phone Browsing,12:30:00,12:54:00,24,30.42
C216,2026-04-13,Adult,2,Casual,Window Seat,Laptop,12:48:00,14:41:00,113,13.55
C217,2026-04-13,Seniors,2,Casual,Table for 4,Reading,12:53:00,12:58:00,5,7.63
C218,2026-04-14,Adult,1,Business Casual,Table with 2 Chairs (Middle),Conversation,7:06:00,7:55:00,49,7.93
C219,2026-04-14,Adult,1,Formal Business,Table with 2 Chairs (Middle),Conversation,8:19:00,8:43:00,24,6.22
C220,2026-04-14,Children,1,Casual,Window Seat,Spacing Out,9:25:00,9:37:00,12,5.37
C221,2026-04-14,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,11:07:00,11:27:00,20,15.75
C222,2026-04-14,Adult,1,Casual,Window Seat,Laptop,14:00:00,16:14:00,134,8
C223,2026-04-14,Adult,1,Casual,Window Seat,Laptop,14:37:00,16:30:00,113,7.84
C224,2026-04-14,University Student,1,Casual,Table with 2 Chairs (Middle),Spacing Out,15:09:00,17:39:00,150,4.26
C225,2026-04-15,Adult,1,Formal Business,Table with 2 Chairs (Middle),Conversation,7:04:00,7:40:00,36,7.01
C226,2026-04-15,Teenagers,2,Casual,Table with 2 Chairs (Middle),Conversation,7:48:00,8:03:00,15,21.87
C227,2026-04-15,Adult,2,Business Casual,Table with 2 Chairs (Middle),Laptop,8:28:00,10:07:00,99,7.75
C228,2026-04-15,Adult,1,Business Casual,Window Seat,Laptop,8:44:00,11:26:00,162,12.55
C229,2026-04-15,University Student,1,Casual,Window Seat,Laptop,10:17:00,12:48:00,151,7.32
C230,2026-04-15,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,11:48:00,12:19:00,31,17.19
C231,2026-04-15,University Student,1,Casual,Window Seat,Laptop,15:26:00,16:48:00,82,7.01
C232,2026-04-16,Adult,1,Formal Business,Window Seat,Conversation,7:18:00,7:44:00,26,7.03
C233,2026-04-16,University Student,1,Casual,Window Seat,Phone Browsing,7:33:00,9:26:00,113,6.48
C234,2026-04-16,Family,3,Casual,Table for 4,Conversation,7:50:00,8:47:00,57,35.29
C235,2026-04-16,Adult,1,Casual,Window Seat,Phone Browsing,8:42:00,9:35:00,53,9.33
C236,2026-04-16,Seniors,1,Casual,Table for 4,Reading,9:06:00,9:59:00,53,7.1
C237,2026-04-16,Teenagers,2,Casual,Table with 2 Chairs (Middle),Spacing Out,12:25:00,12:52:00,27,16.75
C238,2026-04-16,Adult,1,Casual,Table with 2 Chairs (Middle),Conversation,12:37:00,13:06:00,29,13.26
C239,2026-04-17,Adult,1,Formal Business,Table for 4,Phone Browsing,7:29:00,8:23:00,54,5.58
C240,2026-04-17,University Student,1,Casual,Table with 2 Chairs (Middle),Laptop,7:36:00,10:07:00,151,4.03
C241,2026-04-17,Adult,1,Business Casual,Window Seat,Conversation,7:40:00,8:11:00,31,6.8
C242,2026-04-17,Adult,1,Business Casual,Table with 2 Chairs (Middle),Laptop,10:58:00,13:34:00,156,8.31
C243,2026-04-17,Adult,1,Casual,Window Seat,Phone Browsing,11:57:00,12:30:00,33,9.8
C244,2026-04-17,Family,4,Casual,Big Round Table,Conversation,13:16:00,14:14:00,58,33.04
C245,2026-04-17,Adult,2,Formal Business,Table with 2 Chairs (Middle),Conversation,14:46:00,15:31:00,45,10.08
C246,2026-04-20,Teenagers,2,Casual,Table with 2 Chairs (Middle),Phone Browsing,7:05:00,7:25:00,20,20.15
C247,2026-04-20,University Student,1,Casual,Window Seat,Laptop,7:32:00,9:18:00,106,4.48
C248,2026-04-20,University Student,1,Casual,Window Seat,Sleeping,9:32:00,12:05:00,153,5.22
C249,2026-04-20,University Student,1,Casual,Window Seat,Reading,9:58:00,11:57:00,119,5.12
C250,2026-04-20,Seniors,2,Casual,Table with 2 Chairs (Middle),Conversation,11:50:00,12:50:00,60,6.11
C251,2026-04-20,University Student,1,Business Casual,Window Seat,Laptop,12:33:00,15:11:00,158,5.35
C252,2026-04-20,University Student,1,Casual,Window Seat,Laptop,14:44:00,16:21:00,97,5.72
C253,2026-04-21,Adult,1,Formal Business,Table with 2 Chairs (Middle),Laptop,7:25:00,9:24:00,119,8.74
